x,y,SF
290912,4.64246e+06,12
290361,4.6418e+06,7
284954,4.64071e+06,12
290552,4.64262e+06,11
291058,4.64164e+06,9
290125,4.64334e+06,12
289340,4.63431e+06,12
290346,4.64188e+06,8
271962,4.63061e+06,12
290992,4.63905e+06,12
291558,4.64137e+06,10
290819,4.64226e+06,10
290790,4.64228e+06,10
290943,4.64204e+06,10
291987,4.64371e+06,12
289750,4.6392e+06,11
291059,4.64401e+06,12
290693,4.6413e+06,7
290855,4.64228e+06,10
291875,4.64164e+06,11
290595,4.64106e+06,7
289136,4.64282e+06,12
288033,4.639e+06,12
288041,4.63884e+06,12
290467,4.64065e+06,7
289172,4.64245e+06,10
289268,4.63874e+06,12
292746,4.64189e+06,12
290246,4.64023e+06,7
292104,4.64063e+06,12
293282,4.64427e+06,12
291843,4.64075e+06,10
292663,4.64184e+06,12
291889,4.64097e+06,11
292669,4.64181e+06,12
292512,4.64191e+06,12
292637,4.64177e+06,12
292130,4.63706e+06,12
297118,4.64627e+06,12
291173,4.64214e+06,11
293617,4.64189e+06,12
290732,4.63768e+06,12
285749,4.63405e+06,12
292673,4.64182e+06,12
289943,4.63441e+06,12
286279,4.64219e+06,12
290752,4.64151e+06,8
289986,4.64245e+06,9
291099,4.64246e+06,12
289740,4.63522e+06,12
291751,4.6396e+06,12
292035,4.64267e+06,12
288258,4.64392e+06,12
288751,4.63518e+06,12
282901,4.63494e+06,12
291863,4.64195e+06,12
292241,4.64193e+06,12
289860,4.64176e+06,7
291853,4.63681e+06,12
292331,4.64204e+06,12
291597,4.64093e+06,10
291061,4.64404e+06,12
292740,4.64191e+06,12
294400,4.64309e+06,12
289348,4.63431e+06,12
288182,4.64388e+06,12
289219,4.63859e+06,12
290120,4.64242e+06,10
290274,4.6333e+06,12
292320,4.64204e+06,11
291452,4.64022e+06,10
290535,4.64136e+06,7
290559,4.64225e+06,8
291628,4.64461e+06,12
291835,4.64253e+06,12
292833,4.64382e+06,12
289996,4.63443e+06,12
285680,4.64128e+06,12
292522,4.6425e+06,12
274733,4.63097e+06,12
288714,4.64403e+06,12
293245,4.64021e+06,12
293173,4.64411e+06,12
291033,4.64194e+06,9
288378,4.64433e+06,12
296120,4.64039e+06,9
295648,4.64553e+06,12
295604,4.64556e+06,12
295649,4.64557e+06,12
295635,4.64558e+06,12
295602,4.64555e+06,12
294988,4.64595e+06,12
291977,4.64431e+06,12
292347,4.64236e+06,12
298872,4.64746e+06,12
307579,4.65357e+06,12
273677,4.63061e+06,12
291037,4.64046e+06,8
292533,4.64292e+06,12
289634,4.64318e+06,12
287826,4.6392e+06,12
292346,4.64202e+06,12
289281,4.63433e+06,12
282746,4.64012e+06,12
273658,4.63068e+06,12
292848,4.64192e+06,12
291006,4.64037e+06,8
279866,4.63259e+06,12
292729,4.64372e+06,12
292229,4.63869e+06,12
289945,4.63439e+06,12
273718,4.63033e+06,12
290808,4.64226e+06,10
289451,4.63501e+06,12
272102,4.62998e+06,12
288181,4.64391e+06,12
277652,4.63187e+06,12
273695,4.63064e+06,12
287839,4.64404e+06,12
295119,4.6427e+06,9
292749,4.64188e+06,12
291817,4.64254e+06,12
289952,4.63442e+06,12
289666,4.64192e+06,8
291936,4.64258e+06,12
290266,4.63467e+06,12
289625,4.64351e+06,12
271454,4.63032e+06,12
290969,4.64086e+06,8
291868,4.64255e+06,12
283139,4.63288e+06,12
291685,4.64221e+06,12
290316,4.63695e+06,12
291315,4.64013e+06,10
289164,4.64469e+06,12
291259,4.6414e+06,10
291178,4.6413e+06,9
290982,4.63906e+06,12
273692,4.63063e+06,12
290666,4.6416e+06,7
292683,4.64183e+06,12
290658,4.64148e+06,8
290706,4.64129e+06,7
292466,4.64188e+06,12
291443,4.64023e+06,9
292248,4.63801e+06,12
292252,4.63797e+06,12
291716,4.64017e+06,12
290763,4.64469e+06,12
292528,4.64292e+06,12
295217,4.64534e+06,12
292661,4.64283e+06,12
299038,4.64617e+06,12
299072,4.64616e+06,12
291992,4.6437e+06,12
291638,4.64284e+06,12
289955,4.6344e+06,12
289489,4.64175e+06,7
289953,4.63441e+06,12
293083,4.64299e+06,12
290758,4.64286e+06,12
289430,4.63241e+06,12
290661,4.63762e+06,12
292539,4.64291e+06,12
291943,4.64448e+06,12
286513,4.64524e+06,12
290862,4.64232e+06,10
299738,4.63006e+06,12
291755,4.64153e+06,11
289937,4.6344e+06,12
291999,4.64299e+06,12
291073,4.64164e+06,9
290623,4.64463e+06,12
287743,4.63679e+06,12
292495,4.64284e+06,12
291692,4.64211e+06,12
292683,4.641e+06,12
291987,4.64374e+06,12
291359,4.63852e+06,12
290730,4.63763e+06,12
