label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.071633354,292678.157756535,4641799.680736187,1.2,1855,12,1,341-20,[]
TX,0.369106064,294570.118804629,4642622.695420388,1.2,528,9,1,151-5,"[['RX_GW', 0.740872435, 528, 9, 1, 868.1, -128.627747698, '00:00:00:00:00:04']]"
TX,0.681551858,289598.828401778,4638777.028908315,1.2,514,12,1,151-13,[]
TX,0.714137626,273672.737040598,4630641.982389177,1.2,1892,12,1,349-17,[]
TX,0.73946222,291680.181299113,4642108.945388948,1.2,620,12,1,162-19,[]
TX,0.799111268,273707.402160385,4630619.973879564,1.2,1590,12,1,308-13,[]
TX,1.047820928,291947.525163068,4640726.35084162,1.2,2496,11,1,84-16,[]
TX,1.141574265,291737.809079187,4642166.194270809,1.2,1937,12,1,358-11,[]
TX,1.200814137,290405.325548474,4637256.590253099,1.2,1227,12,1,253-11,[]
TX,1.219543012,289828.44827244,4645409.792653486,1.2,479,12,1,148-25,[]
TX,1.619683144,293789.786918881,4646508.634545066,1.2,2252,12,1,56-4,[]
TX,1.694291795,290671.030615185,4641313.587883458,1.2,1211,7,1,249-16,[]
TX,1.79228917,292058.208271393,4640533.908526825,1.2,1035,12,1,226-22,[]
TX,1.794017728,291789.270188731,4642822.257422602,1.2,1903,12,1,351-21,[]
TX,1.874097038,295138.799099009,4642696.132109648,1.2,2443,9,1,8-17,"[['RX_GW', 2.245862347, 2443, 9, 1, 868.1, -129.770065569, '00:00:00:00:00:04']]"
TX,1.967140428,291043.02595826,4644006.002675375,1.2,1671,12,1,317-16,[]
TX,2.126329402,271654.296519743,4630633.208801317,1.2,1236,12,1,254-1,[]
TX,2.29475642,291399.325768207,4641355.514867852,1.2,871,10,1,198-26,[]
TX,2.345152126,290052.335884118,4642385.912583306,1.2,1392,9,1,274-17,[]
TX,2.649141417,293706.788470728,4644280.924020335,1.2,1132,12,1,239-4,[]
TX,2.773173683,289944.115712997,4634409.891969708,1.2,2606,12,1,97-27,[]
TX,3.027900711,288242.718759405,4634781.782064029,1.2,2088,12,1,43-25,[]
TX,3.220877416,290866.239714016,4640177.844193802,1.2,1277,9,1,259-17,[]
TX,3.234349999,291064.08223482,4644026.181366954,1.2,509,12,1,150-4,[]
TX,3.296589335,289431.614134175,4635055.43270636,1.2,265,12,1,127-1,[]
TX,3.352779312,292331.935767375,4642042.976695351,1.2,522,12,1,151-24,[]
TX,3.619513696,295012.621269702,4644548.327084362,1.2,150,12,1,110-24,[]
TX,3.778646161,292311.811854998,4642043.305924464,1.2,236,12,1,124-14,[]
TX,3.917358912,293467.711053712,4640686.298974575,1.2,457,12,1,147-12,[]
TX,3.971280745,290191.052080956,4640804.273563223,1.2,2006,7,1,368-18,[]
TX,4.000681809,292270.369195424,4651136.700356023,1.2,1239,12,1,254-12,[]
